year,JD
2020,177.5056
2020,178.4917
2020,179.3556
2020,180.2389
2020,181.4139
2020,182.3694
2020,183.3736
2020,184.4903
2020,185.3931
2020,186.3972
2020,187.4083
2020,188.3486
2020,189.3694
2020,190.3764
2020,191.3486
2020,192.3472
2020,193.4333
2020,194.3708
2020,195.3944
2020,196.2444
2020,197.3222
2020,198.35
2020,199.3861
2020,200.4528
2020,201.3861
2020,202.3181
2020,203.3431
2020,204.3806
2020,205.3597
2020,206.3819
2020,207.3653
2020,208.3792
2020,209.3611
2020,210.3597
2020,211.3556
2020,212.3167
2020,213.3375
2020,214.3403
2020,215.3611
2020,216.5347
2020,217.4361
2020,218.3944
2020,219.3819
2020,220.3486
2020,221.3625
2020,222.2347
2020,223.3875
2020,224.2569
2020,225.2792
2020,226.3833
2020,227.4208
2020,228.4111
2020,229.3778
2020,230.4083
2020,231.4292
2020,232.3944
2020,233.3694
2020,234.3611
2020,235.3792
2020,236.4167
2020,237.3847
2020,238.4042
2020,239.4069
2020,240.3847
2020,241.3846
2020,242.3861
2020,243.3306
2021,162.5417
2021,163.4
2021,164.4236
2021,165.3847
2021,166.3958
2021,167.3153
2021,168.4903
2021,169.4861
2021,170.4972
2021,171.4486
2021,172.5306
2021,173.5514
2021,174.6847
2021,175.4694
2021,176.475
2021,177.5597
2021,178.4486
2021,179.4486
2021,180.5417
2021,181.4722
2021,182.4097
2021,183.4264
2021,184.5972
2021,185.4653
2021,186.4306
2021,187.3819
2021,188.5458
2021,189.4583
2021,190.3542
2021,191.4097
2021,192.4167
2021,193.3653
2021,194.3431
2021,195.4931
2021,196.4542
2021,197.4056
2021,198.3611
2021,199.3778
2021,200.3639
2021,201.3861
2021,202.4167
2021,203.3847
2021,204.4347
2021,205.3028
2021,206.3542
2021,207.3264
2021,208.2986
2021,209.3333
2021,210.3542
2021,211.3542
2021,212.3472
2021,213.4028
2021,214.3778
2021,215.3917
2021,216.2639
2021,217.3542
2021,218.3722
2021,219.3722
2021,220.425
2021,221.4028
2021,222.3986
2021,223.3681
2021,224.3184
2021,225.3333
2021,226.3472
2021,227.3986
2021,228.3653
2021,229.4042
2021,230.4069
2021,231.375
2021,232.3778
2021,233.4
2021,234.3778
2021,235.4097
2021,236.3778
2021,237.4125
2021,238.4236
2021,239.4056
2021,240.4167
2021,241.4028
2021,242.3097
2021,243.4097
2021,244.4333
2021,245.4264
2021,246.4306
2021,247.4167
2021,248.4208
2021,249.4319
2021,250.4167
2021,251.4306
2021,252.3681
2021,253.3819
2021,254.3639
2021,255.4444
2021,256.4236
2021,257.2153
2022,136.7326
2022,137.3889
2022,138.3889
2022,139.1806
2022,140.3889
2022,141.4306
2022,142.4306
2022,143.2639
2022,144.5556
2022,145.4722
2022,146.3889
2022,147.3889
2022,148.4306
2022,149.4306
2022,150.4306
2022,151.5139
2022,152.3889
2022,153.2222
2022,154.3056
2022,155.3472
2022,156.3472
2022,157.3472
2022,158.3889
2022,159.3899
2022,160.5139
2022,161.3472
2022,162.3889
2022,163.3472
2022,164.3472
2022,165.3472
2022,166.3472
2022,167.3056
2022,168.4372
2022,169.3056
2022,170.3056
2022,171.3889
2022,172.3056
2022,173.2222
2022,174.3056
2022,175.3056
2022,176.3472
2022,177.3056
2022,178.2639
2022,179.3056
2022,180.3056
2022,181.3056
2022,182.2222
2022,183.3472
2022,184.3056
2022,185.2222
2022,186.3056
2022,186.3472
2022,188.3472
2022,189.3472
2022,190.3472
2022,191.3472
2022,192.3472
2022,193.3472
2022,194.3472
2022,195.2639
2022,196.3472
2022,197.3472
2022,198.3056
2022,199.3472
2022,200.3056
2022,201.2639
2022,202.3056
2022,203.3472
2022,204.3056
2022,205.3472
2022,206.3056
2022,207.3056
2022,208.3472
2022,209.3056
2022,210.3472
2022,211.3472
2022,212.3472
2022,213.3472
2022,214.3472
2022,215.3472
2022,216.3056
2022,217.3472
2022,218.3472
2022,219.3472
2022,220.3472
2022,221.3472
2022,222.3472
2022,223.3472
2022,224.3056
2022,225.3472
2022,226.3889
2022,227.3472
2022,228.3472
2022,229.3889
2022,230.3472
2022,231.2639
2022,232.3472
2022,233.3889
2022,234.3472
2022,235.3889
2022,236.3889
2022,237.3472
2022,238.3472
2022,239.3889
2022,240.3889
2022,241.3889
2022,242.3889
2022,243.3472
2022,244.3889
2022,244.5868
